lat,long,type
37.750337,-122.387501,bus_stop
37.73228,-122.391559,bus_stop
37.779285,-122.393185,bus_stop
37.72567,-122.3943,bus_stop
37.7253,-122.3942,bus_stop
37.7504,-122.38772,bus_stop
37.74585,-122.38705,bus_stop
37.72416,-122.39498,bus_stop
37.7238,-122.39488,bus_stop
37.742682,-122.387908,bus_stop
37.74244,-122.38815,bus_stop
37.783998,-122.399097,bus_stop
37.72263,-122.39541,bus_stop
37.74089,-122.3887,bus_stop
37.74012,-122.3887,bus_stop
37.784945,-122.400254,bus_stop
37.73932,-122.38926,bus_stop
37.72119,-122.39606,bus_stop
37.73891,-122.38912,bus_stop
37.73891,-122.38913,bus_stop
37.71977,-122.39671,bus_stop
37.737213,-122.389803,bus_stop
37.737927,-122.389619,bus_stop
37.786373,-122.40211,bus_stop
37.787632,-122.403439,bus_stop
37.73541,-122.39035,bus_stop
37.73507,-122.39048,bus_stop
37.734135,-122.390813,bus_stop
37.734091,-122.390928,bus_stop
37.734787,-122.390721,bus_stop
37.782704,-122.39747,bus_stop
37.73225,-122.39146,bus_stop
37.72078,-122.39649,bus_stop
37.73067,-122.39202,bus_stop
37.73044,-122.39237,bus_stop
37.729238,-122.392593,bus_stop
37.729166,-122.392776,bus_stop
37.72791,-122.39302,bus_stop
37.72792,-122.39328,bus_stop
37.772966,-122.389694,bus_stop
37.77529,-122.39282,bus_stop
37.778305,-122.396602,bus_stop
37.77548,-122.39279,bus_stop
37.781804,-122.401012,bus_stop
37.783036,-122.402548,bus_stop
37.784259,-122.404117,bus_stop
37.785527,-122.405675,bus_stop
37.777064,-122.394872,bus_stop
37.777109,-122.395135,bus_stop
37.776894,-122.394895,bus_stop
37.77701,-122.394746,bus_stop
37.77654,-122.39857,bus_stop
37.78031,-122.40357,bus_stop
37.77931,-122.40205,bus_stop
37.78145,-122.40475,bus_stop
37.78123,-122.40474,bus_stop
37.78296,-122.40665,bus_stop
37.78277,-122.40665,bus_stop
37.77549,-122.39716,bus_stop
37.779171,-122.464239,bus_stop
37.779002,-122.464044,bus_stop
37.777146,-122.463918,bus_stop
37.776985,-122.46409,bus_stop
37.775611,-122.463803,bus_stop
37.783216,-122.464382,bus_stop
37.783026,-122.464526,bus_stop
37.784673,-122.46448,bus_stop
37.77397,-122.46371,bus_stop
37.780876,-122.464182,bus_stop
37.780768,-122.464354,bus_stop
37.77732,-122.40424,bus_stop
37.756597,-122.463741,bus_stop
37.756767,-122.46357,bus_stop
37.783133,-122.46542,bus_stop
37.773266,-122.403367,bus_stop
37.776864,-122.407904,bus_stop
37.77573,-122.40646,bus_stop
37.777935,-122.409222,bus_stop
37.779175,-122.410768,bus_stop
37.780309,-122.412395,bus_stop
37.772034,-122.401821,bus_stop
37.784465,-122.466704,bus_stop
37.775183,-122.465923,bus_stop
37.775022,-122.466095,bus_stop
37.773639,-122.465808,bus_stop
37.773478,-122.46598,bus_stop
37.771554,-122.405901,bus_stop
37.772536,-122.407127,bus_stop
37.774767,-122.409922,bus_stop
37.773536,-122.408376,bus_stop
37.776222,-122.411755,bus_stop
37.77724,-122.413027,bus_stop
37.778498,-122.414597,bus_stop
37.770161,-122.404126,bus_stop
37.764288,-122.466241,bus_stop
37.763913,-122.466241,bus_stop
37.763797,-122.46639,bus_stop
37.762093,-122.46608,bus_stop
37.76204,-122.466241,bus_stop
37.760407,-122.466149,bus_stop
37.760237,-122.465954,bus_stop
37.758533,-122.466022,bus_stop
37.758364,-122.465827,bus_stop
37.76585,-122.466345,bus_stop
37.765689,-122.466517,bus_stop
37.756677,-122.465884,bus_stop
37.756508,-122.465689,bus_stop
37.754804,-122.465758,bus_stop
37.754634,-122.465551,bus_stop
37.752939,-122.465631,bus_stop
37.823397,-122.374286,bus_stop
37.824599,-122.371452,bus_stop
37.825196,-122.370063,bus_stop
37.752724,-122.466502,bus_stop
37.75086,-122.466376,bus_stop
37.750699,-122.466547,bus_stop
37.749325,-122.466261,bus_stop
37.749164,-122.466432,bus_stop
37.769807,-122.4113,bus_stop
37.77212,-122.41422,bus_stop
37.77159,-122.41381,bus_stop
37.77085,-122.41263,bus_stop
37.77036,-122.41227,bus_stop
37.77333,-122.41573,bus_stop
37.77283,-122.41538,bus_stop
37.77457,-122.41732,bus_stop
37.774038,-122.416891,bus_stop
37.7755,-122.41852,bus_stop
37.775368,-122.418575,bus_stop
37.82841,-122.371964,bus_stop
37.74887,-122.47074,bus_stop
37.74503,-122.4703,bus_stop
37.7434,-122.4703,bus_stop
37.74317,-122.47017,bus_stop
37.7416,-122.47004,bus_stop
37.74153,-122.47018,bus_stop
37.767296,-122.437213,bus_stop
37.767768,-122.429088,bus_stop
37.76767,-122.42913,bus_stop
37.76738,-122.43584,bus_stop
37.76728,-122.43578,bus_stop
37.76751,-122.43327,bus_stop
37.7674,-122.43356,bus_stop
37.76767,-122.431105,bus_stop
37.767536,-122.431277,bus_stop
37.75411,-122.47217,bus_stop
37.75268,-122.47206,bus_stop
37.75081,-122.47196,bus_stop
37.74891,-122.47183,bus_stop
37.743124,-122.471297,bus_stop
37.743069,-122.471405,bus_stop
37.741525,-122.471192,bus_stop
37.741484,-122.4713,bus_stop
37.736387,-122.470381,bus_stop
37.76668,-122.42016,bus_stop
37.75811,-122.47367,bus_stop
37.7593,-122.4737,bus_stop
37.75697,-122.47351,bus_stop
37.7563,-122.47361,bus_stop
37.75636,-122.47368,bus_stop
37.75425,-122.47321,bus_stop
37.7524,-122.47309,bus_stop
37.75054,-122.47295,bus_stop
37.76572,-122.409812,bus_stop
37.765568,-122.410328,bus_stop
37.764579,-122.428523,bus_stop
37.764731,-122.426156,bus_stop
37.764575,-122.426579,bus_stop
37.764853,-122.423959,bus_stop
37.76472,-122.424256,bus_stop
37.765523,-122.412976,bus_stop
37.765377,-122.41329,bus_stop
37.765938,-122.403802,bus_stop
37.765143,-122.4196,bus_stop
37.76502,-122.41928,bus_stop
37.764983,-122.419835,bus_stop
37.765862,-122.407669,bus_stop
37.765701,-122.407646,bus_stop
37.765861,-122.405515,bus_stop
37.765374,-122.415428,bus_stop
37.765218,-122.416048,bus_stop
37.764987,-122.421746,bus_stop
37.764849,-122.422056,bus_stop
37.766039,-122.40469,bus_stop
37.76513,-122.4195,bus_stop
37.74698,-122.47391,bus_stop
37.746745,-122.473707,bus_stop
37.74511,-122.47374,bus_stop
37.76176,-122.44768,bus_stop
37.76281,-122.4285,bus_stop
37.761854,-122.446702,bus_stop
37.76168,-122.44898,bus_stop
37.76252,-122.434866,bus_stop
37.764904,-122.401451,bus_stop
37.764771,-122.401711,bus_stop
37.762415,-122.437489,bus_stop
37.764808,-122.403659,bus_stop
37.764817,-122.403441,bus_stop
37.764817,-122.403476,bus_stop
37.762645,-122.432991,bus_stop
37.764991,-122.399982,bus_stop
37.764929,-122.399284,bus_stop
37.762992,-122.388925,bus_stop
37.76137,-122.428195,bus_stop
37.761245,-122.428138,bus_stop
37.76258,-122.397352,bus_stop
37.760952,-122.435151,bus_stop
37.760845,-122.434842,bus_stop
37.760355,-122.44354,bus_stop
37.76024,-122.44349,bus_stop
37.760702,-122.437294,bus_stop
37.761486,-122.426236,bus_stop
37.761388,-122.425927,bus_stop
37.760765,-122.438154,bus_stop
37.761619,-122.423955,bus_stop
37.761521,-122.423646,bus_stop
37.760586,-122.441087,bus_stop
37.760488,-122.440778,bus_stop
37.762874,-122.390848,bus_stop
37.761895,-122.419509,bus_stop
37.759792,-122.444445,bus_stop
37.761094,-122.432688,bus_stop
37.76096,-122.432905,bus_stop
37.762828,-122.393471,bus_stop
37.762732,-122.39322,bus_stop
37.761228,-122.430464,bus_stop
37.761094,-122.430682,bus_stop
37.762701,-122.395422,bus_stop
37.762621,-122.39516,bus_stop
37.761762,-122.421732,bus_stop
37.761663,-122.421423,bus_stop
37.71953,-122.47458,bus_stop
37.725785,-122.475051,bus_stop
37.719691,-122.4749,bus_stop
37.731175,-122.474962,bus_stop
37.73097,-122.47472,bus_stop
37.72111,-122.475302,bus_stop
37.72094,-122.475004,bus_stop
37.721074,-122.475233,bus_stop
37.76368,-122.47731,bus_stop
37.76343,-122.47704,bus_stop
37.716889,-122.472275,bus_stop
37.71805,-122.47318,bus_stop
37.717323,-122.47297,bus_stop
37.76158,-122.47687,bus_stop
37.7614,-122.47711,bus_stop
37.76015,-122.47671,bus_stop
37.75995,-122.47695,bus_stop
37.75786,-122.47654,bus_stop
37.757889,-122.476782,bus_stop
37.765214,-122.477197,bus_stop
37.765375,-122.477404,bus_stop
37.75622,-122.47669,bus_stop
37.75599,-122.47642,bus_stop
37.75412,-122.47629,bus_stop
