loc
"(37.77702, -122.4381)"
"(37.77261, -122.43721)"
"(37.76129, -122.4262)"
"(37.7251, -122.46107)"
"(37.76218, -122.42584)"
"(37.75168, -122.4386)"
"(37.79473, -122.39648)"
"(37.79491, -122.39677)"
"(37.76899, -122.4355)"
"(37.78149, -122.41555)"
"(37.78448, -122.41631)"
"(37.78129, -122.42237)"
"(37.73099, -122.47544)"
"(37.73004, -122.40481)"
"(37.78347, -122.43267)"
"(37.77797, -122.43155)"
"(37.77948, -122.43207)"
"(37.78683, -122.43349)"
"(37.78068, -122.43211)"
"(37.7825, -122.43248)"
"(37.75261, -122.41011)"
"(37.76849, -122.41573)"
"(37.7641, -122.41507)"
"(37.78251, -122.40037)"
"(37.789, -122.39248)"
"(37.79362, -122.39736)"
"(37.78254, -122.47174)"
"(37.79811, -122.39846)"
"(37.78368, -122.42168)"
"(37.75237, -122.41416)"
"(37.7847, -122.39761)"
"(37.72198, -122.48223)"
"(37.72672, -122.43352)"
"(37.77897, -122.42162)"
"(37.7782, -122.42147)"
"(37.78565, -122.42297)"
"(37.78751, -122.42335)"
"(37.78939, -122.39522)"
"(37.79795, -122.39963)"
"(37.7989, -122.39984)"
"(37.79466, -122.39896)"
"(37.76212, -122.47054)"
"(37.78634, -122.47231)"
"(37.78168, -122.4546)"
"(37.78017, -122.48599)"
"(37.77975, -122.49015)"
"(37.78086, -122.46478)"
"(37.78312, -122.44211)"
"(37.78398, -122.43432)"
"(37.7809, -122.46987)"
"(37.7812, -122.46341)"
"(37.78139, -122.45911)"
"(37.78076, -122.47307)"
"(37.78066, -122.4753)"
"(37.78056, -122.47744)"
"(37.78001, -122.48344)"
"(37.78021, -122.48492)"
"(37.78552, -122.42324)"
"(37.78165, -122.41604)"
"(37.77283, -122.42183)"
"(37.77491, -122.41341)"
"(37.79944, -122.40918)"
"(37.80306, -122.40295)"
"(37.77826, -122.42018)"
"(37.77824, -122.41828)"
"(37.77808, -122.42059)"
"(37.77799, -122.42126)"
"(37.77854, -122.41857)"
"(37.77464, -122.44769)"
"(37.75743, -122.42329)"
"(37.76876, -122.42438)"
"(37.76976, -122.44838)"
"(37.76934, -122.45167)"
"(37.77917, -122.40759)"
"(37.77117, -122.41195)"
"(37.78512, -122.39831)"
"(37.78451, -122.39771)"
"(37.77671, -122.42481)"
"(37.77585, -122.41963)"
"(37.79256, -122.39854)"
"(37.77963, -122.4153)"
"(37.7843, -122.43482)"
"(37.7209, -122.47721)"
"(37.72097, -122.47916)"
"(37.79122, -122.39277)"
"(37.79192, -122.39186)"
"(37.78931, -122.39489)"
"(37.79069, -122.39315)"
"(37.78963, -122.41704)"
"(37.78005, -122.41511)"
"(37.7799, -122.41533)"
"(37.76382, -122.47299)"
"(37.79676, -122.40046)"
"(37.77589, -122.41642)"
"(37.78179, -122.40869)"
"(37.78284, -122.41246)"
